symbol,date,daily_entry,daily_sl,daily_pnl,daily_win,pre_consol_atr,pre_tight,hourly_confirmed,hours_to_confirm,hourly_entry,entry_improvement,sl_hourly
STLD,2026-01-15,172.82,158.23,12.67,True,2.64,False,True,0.0,172.5,0.19,
GILD,2026-01-16,122.96,116.91,7.38,True,2.27,False,True,0.0,124.93,-1.6,122.71
JBHT,2026-01-16,201.93,179.43,10.69,True,2.33,False,True,0.0,206.12,-2.07,
KO,2026-01-20,70.55,68.31,4.75,True,3.77,False,True,0.0,70.46,0.12,
MDT,2026-01-20,96.82,94.3,3.9,True,3.37,False,True,0.0,97.08,-0.26,
AMGN,2026-01-21,337.82,315.95,9.71,True,2.97,False,True,0.0,337.99,-0.05,
DOV,2026-01-21,205.99,186.43,12.62,True,2.49,False,True,0.0,208.57,-1.25,204.54
MDT,2026-01-21,98.48,94.45,6.15,True,2.67,False,True,0.0,100.07,-1.61,
GILD,2026-01-21,127.1,116.34,18.23,True,2.87,False,True,0.0,129.15,-1.61,122.43
PFE,2026-01-22,25.41,24.22,7.06,True,1.9,False,True,0.0,26.25,-3.3,
TSN,2026-01-22,60.02,55.02,5.54,True,2.65,False,True,0.0,61.12,-1.83,59.98
TSN,2026-01-23,60.55,55.22,3.14,True,1.66,False,True,0.0,61.67,-1.84,61.0
UNP,2026-01-30,231.54,222.01,6.18,True,2.7,False,True,68.5,231.95,-0.18,230.26
PWR,2026-02-02,472.9,425.62,15.0,True,1.49,True,True,16.5,483.5,-2.24,469.69
VMC,2026-02-03,307.32,284.77,-3.87,False,3.46,False,True,0.0,317.27,-3.24,
UNP,2026-02-03,237.83,222.21,9.85,True,1.7,False,True,0.0,241.19,-1.41,
NSC,2026-02-03,294.04,280.03,7.14,True,1.59,False,True,0.0,297.95,-1.33,
HCA,2026-02-05,507.87,459.15,4.76,True,2.22,False,True,0.0,507.5,0.07,
SOLV,2026-02-10,79.66,78.07,-1.99,False,1.73,False,True,0.0,80.11,-0.57,
REGN,2026-02-11,770.25,719.3,-3.07,False,3.01,False,True,0.0,760.96,1.21,
ABBV,2026-02-12,225.22,212.53,-2.46,False,2.65,False,True,0.0,223.9,0.59,
VRTX,2026-02-13,486.56,436.44,-6.14,False,1.94,False,True,0.0,491.34,-0.98,
COO,2026-02-13,82.16,78.5,-2.39,False,2.57,False,True,0.0,83.38,-1.48,
VMC,2026-02-17,298.63,283.75,-1.08,False,2.08,False,True,0.0,304.51,-1.97,
WSM,2026-02-20,212.71,187.6,-7.7,False,1.91,False,True,0.0,215.78,-1.44,
WBD,2026-02-24,28.86,27.7,-3.15,False,1.52,False,True,0.0,29.11,-0.89,
XOM,2026-03-12,151.99,134.12,0.34,True,1.99,False,True,0.0,153.37,-0.9,
APD,2026-03-12,285.78,259.15,4.52,True,3.17,False,True,0.0,284.64,0.4,
CTRA,2026-03-12,31.66,27.05,5.53,True,1.23,True,True,0.0,31.98,-0.99,
EXE,2026-03-19,106.87,100.03,-2.79,False,3.2,False,True,0.0,110.82,-3.69,
HUBB,2026-03-19,487.72,464.1,-2.46,False,2.26,False,True,0.0,482.84,1.0,
FTV,2026-03-19,54.99,53.78,0.41,True,2.02,False,True,0.0,55.55,-1.01,54.6
