symbol,type,date,entry,exit,sl,tp,rr,risk_pct,pnl_pct,win,reason,days,year
AFL,A,2017-08-29,33.18139022827148,34.365638732910156,31.766575059038725,37.425835735969756,3.0000000000000027,4.263881529675312,3.5690141265680335,True,timeout,20,2017
AFL,B,2017-09-15,33.628076820373536,34.30060184355173,33.17972680492141,34.30060184355173,1.500000000000008,1.333260946937339,1.9998914204060192,True,target,2,2017
AFL,B,2018-09-19,39.60311187744141,39.11842470388795,39.11842470388795,41.05717339810177,3.0,1.223861334567346,-1.223861334567346,False,stop,11,2018
AFL,A,2019-05-10,43.06637844085693,46.354644775390625,41.073199619498254,49.04591490493296,3.0,4.628155172360056,7.635344446363124,True,timeout,20,2019
AFL,A,2019-11-26,46.681753120422364,44.77735089438607,44.77735089438607,52.394959798531254,3.0,4.079543073550846,-4.079543073550846,False,stop,4,2019
AFL,A,2021-01-22,40.70269981384277,43.884178161621094,38.13114818167438,44.56002726209536,1.5,6.317889584547467,7.816381621683778,True,timeout,20,2021
AFL,B,2021-01-25,40.825430145263674,40.11856678334769,40.11856678334769,41.91078833279614,1.5354568449983752,1.7314290612514012,-1.7314290612514012,False,stop,2,2021
AFL,A,2021-02-19,42.44770397186279,45.623138427734375,38.980752427707024,52.8485586043301,3.0,8.167583213579464,7.480815588933795,True,timeout,20,2021
AFL,A,2021-06-08,50.87638641357422,47.9547119140625,47.55565753211448,55.85747973576382,1.499999999999999,6.52705334546665,-5.742692642833201,False,below_sma,7,2021
AFL,B,2023-10-10,73.96471183776855,76.75926208496094,71.58199960209322,81.11284854479453,3.0,3.221417587486152,3.7782209620742564,True,timeout,20,2023
AFL,A,2023-12-12,79.56445220947266,76.74751281738281,74.78208931445475,93.9115408945264,3.0,6.010677836915391,-3.540449678046643,False,below_sma,18,2023
AFL,B,2024-09-30,107.24581809997558,106.38150787353516,105.01823752149014,113.92855983543191,3.0,2.077079198005532,-0.805915085318017,False,timeout,20,2024
A,A,2016-06-20,42.20097438812256,39.13455138842784,39.13455138842784,46.800608887664644,1.5,7.266237436825074,-7.266237436825074,False,stop,5,2016
A,A,2017-04-24,50.317090644836426,54.16181064729267,47.75394397653226,54.16181064729267,1.4999999999999987,5.093988216441516,7.640982324662265,True,target,16,2017
A,B,2017-06-22,56.01981754302979,55.291720661686796,55.291720661686796,57.111962865044276,1.5,1.2997130538380075,-1.2997130538380075,False,stop,2,2017
A,B,2018-12-03,69.93560852050781,66.53657545452293,66.53657545452293,80.13270771846246,3.0,4.860232344997976,-4.860232344997976,False,stop,2,2018
A,A,2019-11-15,73.95033073425293,78.68269282568973,70.79542267329506,78.68269282568973,1.5,4.266252807300223,6.399379210950334,True,target,15,2019
A,A,2020-02-19,80.82020805358887,80.67048645019531,79.58659788524795,82.67062330610025,1.5000000000000058,1.526363514831533,-0.18525268246560792,False,below_sma,1,2020
A,A,2021-07-20,142.9275036621094,156.52285033879235,133.8639392109874,156.52285033879235,1.5,6.3413718276007085,9.512057741401064,True,target,19,2021
A,A,2024-02-06,132.2061946105957,127.54573822021484,124.98679460891688,143.03529461311393,1.5,5.460712353867433,-3.5251422250734272,False,below_sma,5,2024
A,B,2025-11-04,144.0325373840332,149.85097983115253,140.1535757526203,149.85097983115253,1.5,2.693114834928192,4.039672252392288,True,target,6,2025
APD,A,2017-09-11,119.37219268798827,124.2252197265625,115.40755188230023,125.31915389652035,1.5,3.3212431776726405,4.065458570622836,True,timeout,20,2017
APD,B,2017-09-18,120.78850479125977,122.52070278649165,119.63370612777184,122.52070278649165,1.5,0.9560501353035082,1.4340752029552626,True,target,6,2017
APD,A,2018-06-06,136.78766372680664,134.5530242919922,132.20312801263884,143.66446729805836,1.500000000000003,3.3515710329873523,-1.6336556776621998,False,below_sma,8,2018
APD,B,2019-06-05,181.97549285888672,196.7801513671875,170.5313089909564,216.30804446267769,3.0,6.288859938302097,8.13552323761589,True,timeout,20,2019
APD,A,2020-06-30,207.87489349365234,228.0317912928219,194.4369616275393,228.0317912928219,1.5,6.464432351722834,9.696648527584252,True,target,4,2020
APD,A,2024-09-23,276.50484283447264,308.13977089454494,255.41489079442445,308.13977089454494,1.5000000000000007,7.627335501198986,11.441003251798483,True,target,13,2024
APD,B,2024-09-26,283.5203741455078,278.37233279514135,278.37233279514135,298.9644981966071,3.0,1.8157571094782672,-1.8157571094782672,False,stop,4,2024
APD,A,2026-03-12,285.7833737182617,298.7099914550781,259.14665784164487,325.738447533187,1.500000000000001,9.320596761824408,4.52322245644705,True,timeout,20,2026
ABNB,A,2024-01-26,148.1237951660156,149.27000427246094,129.9648036523618,175.36228243649632,1.5,12.259334493354961,0.7738183491455015,True,timeout,20,2024
AKAM,B,2017-12-15,57.18239833831787,60.3398355492494,56.129919268007356,60.3398355492494,3.0,1.8405647557549996,5.521694267264998,True,target,1,2017
AKAM,B,2018-03-08,74.32920181274415,69.33999633789062,68.31946762619397,92.35840437239467,3.0,8.085293585810811,-6.712308693187249,False,timeout,20,2018
AKAM,A,2018-06-05,78.20009788513184,72.45999908447266,71.10363440605857,99.48948832235163,3.0,9.074750123071794,-7.3402706082169065,False,below_sma,16,2018
AKAM,A,2019-07-31,87.24869728088379,88.19000244140625,77.03025414781291,117.90402668009642,3.0,11.711857542324292,1.0788758913982102,True,timeout,20,2019
AKAM,B,2019-08-01,89.20890060424804,89.37999725341797,81.44428762336015,100.85582007557989,1.5000000000000009,8.703854579862568,0.19179324934061323,True,timeout,20,2019
