symbol,date,entry,exit,sl,tp,risk_pct,pnl_pct,win,reason,days
FISV,2024-03-15,148.13370483398438,159.07326885139392,140.84066215571136,159.07326885139392,4.923283790442185,7.384925685663278,True,target,8
FISV,2024-12-20,203.98950302124024,209.38347949774646,200.3935187035694,209.38347949774646,1.7628281183156749,2.6442421774735054,True,target,2
FTV,2025-12-19,54.30147960662842,52.64239501953125,50.13546018491669,60.55050873919602,7.672018243133097,-3.0553211424733435,False,below_sma,19
GRMN,2024-01-19,119.69515571594238,117.41620635986328,116.20385133412545,124.93211228866778,2.9168301431533368,-1.9039612275432791,False,below_sma,7
HD,2024-02-02,334.568669128418,359.839111328125,313.7508620429049,365.7953797566876,6.222282301491466,7.553140664826398,True,timeout,20
IBM,2024-03-04,180.42579299926757,178.30238342285156,160.14390047084498,210.84863179190145,11.241126998125441,-1.176888038632386,False,timeout,20
IDXX,2025-12-19,693.336626586914,682.3200073242188,661.3098091656698,741.3768527187804,4.619230571865581,-1.588927923356182,False,below_sma,6
IR,2024-03-20,92.57275703430176,89.40538787841797,82.97236021791204,121.37394748347091,10.370650204176595,-3.421491654083672,False,below_sma,19
IR,2024-11-06,101.80745727539062,102.83555603027344,91.64862488235435,132.2839544544994,9.978475707881081,1.0098462159817996,True,timeout,20
JCI,2025-12-15,115.35559730529785,109.78715013767035,109.78715013767035,123.70826805673909,4.827201538292202,-4.827201538292202,False,stop,14
JPM,2025-06-16,262.5502780151367,281.7181396484375,240.14057543392016,329.77938575878636,8.535394725396014,7.300644195926431,True,timeout,20
KEYS,2024-01-29,157.73670181274414,144.7752507155761,144.7752507155761,177.1788784584962,8.217143472769655,-8.217143472769655,False,stop,16
KLAC,2024-01-16,550.7676232910156,593.1125650040215,522.5376621490118,593.1125650040215,5.125566563502888,7.688349845254343,True,target,3
LH,2025-03-03,248.82825805664064,236.70880126953125,231.34132964145806,275.0586506794145,7.027710016441153,-4.87061111216341,False,below_sma,6
MCD,2024-01-19,282.28725494384764,271.3243408203125,265.2928354438028,333.27051344398217,6.020257451377094,-3.8836022284165383,False,below_sma,11
MSI,2024-01-18,310.3742449951172,321.35371080968895,303.054601118736,321.35371080968895,2.3583283711238128,3.5374925566857187,True,target,3
NEM,2025-06-02,54.57244331359863,58.34699249267578,48.651837777609366,63.453351617582534,10.849075424324901,6.916584543204037,True,timeout,20
NSC,2024-01-17,213.36761398315429,227.0548045639963,205.18517850069426,227.0548045639963,3.8349004001638405,6.414839780662608,True,target,3
NSC,2024-01-18,221.02902603149414,245.79406273576177,204.51900156198238,245.79406273576177,7.4696182514776455,11.204427377216462,True,target,20
OKE,2025-01-13,96.47184127807617,99.22690694429551,95.27713958073721,99.22690694429551,1.2383942106954064,2.8558236576805585,True,target,1
PKG,2024-01-05,157.04917327880858,152.60215759277344,147.09146111847204,171.9857415193134,6.340505939919,-2.831607192315734,False,below_sma,19
PWR,2024-02-01,197.73162322998047,205.42544025950667,192.602411876963,205.42544025950667,2.5940268274901648,3.8910402412352467,True,target,1
PWR,2024-02-02,201.91809539794923,216.4075760712857,192.25844161572493,216.4075760712857,4.783946561692066,7.1759198425381046,True,target,13
RJF,2024-03-19,117.2793418121338,118.64067077636719,109.47634142781709,128.98384238860885,6.653345988943298,1.1607576775235193,True,timeout,20
RF,2025-12-19,27.1226535987854,28.3771915435791,24.038835253644848,31.748381116496233,11.36989909157949,4.625424795639762,True,timeout,20
ROL,2024-02-14,42.5819225692749,40.91383006621434,40.91383006621434,45.08406132386575,3.917372449181475,-3.917372449181475,False,stop,1
SYY,2024-01-18,69.95884941101075,75.11462935305192,66.5216627829833,75.11462935305192,4.913154886001416,7.369732329002135,True,target,8
TMUS,2024-01-17,157.04592544555663,155.88002014160156,146.06524979110858,173.5169389272287,6.992015630647315,-0.7423976780341606,False,timeout,20
TROW,2024-04-26,102.20261283874511,101.47848510742188,99.26389431136624,106.6106906298134,2.8753849297527903,-0.7085217405016464,False,below_sma,1
TER,2024-03-01,104.01917129516602,112.77912159946857,98.17920442563099,112.77912159946857,5.614317819321474,8.42147672898221,True,target,20
TMO,2024-03-01,566.4533587646484,573.6641845703125,528.8158410436849,679.365911927539,6.6444160209492615,1.2729778531792644,True,timeout,20
USB,2024-03-04,38.301066856384274,41.00839627028435,36.49618058045089,41.00839627028435,4.712365539845358,7.068548309768037,True,target,18
VLO,2025-10-23,169.2893051147461,169.78164672851562,147.58537578823217,201.845199104517,12.82061457562412,0.29082853960314337,True,timeout,20
VLO,2025-11-06,172.1054182434082,173.08145141601562,153.57714137324388,199.89783354865466,10.765655758704721,0.5671135647961001,True,timeout,20
VZ,2024-04-19,35.18323757171631,34.295939960924876,34.295939960924876,36.656553517219066,2.5219328067316096,-2.5219328067316096,False,stop,1
VRTX,2024-08-02,489.51539154052733,465.8900146484375,461.8739650840204,530.9775312252877,5.646692000739359,-4.826278662605417,False,below_sma,3
VRT,2024-01-18,50.23725437164307,62.66058349609375,43.19701822313696,71.3579628171614,14.013974761487052,24.729315484771313,True,timeout,20
WRB,2024-03-12,53.72042335510254,53.185791015625,49.30586414272133,60.34226217367435,8.21765529135931,-0.9952124463791265,False,timeout,20
WAB,2024-04-23,145.57272033691407,157.98150874478122,137.3001947316693,157.98150874478122,5.6827443947594025,8.524116592139103,True,target,1
DIS,2024-01-29,94.60183708190918,107.25091552734375,87.78102009643948,115.0642880383183,7.210025931699436,13.370859209089787,True,timeout,20
XYL,2024-01-29,109.31998260498047,117.63467695922125,103.77685303548661,117.63467695922125,5.07055474891863,7.605832123377944,True,target,7
XYL,2024-03-15,123.09222312927245,124.35511016845703,114.29689959545584,136.28520842999737,7.1453121165743285,1.025968178231928,True,timeout,20
XYL,2024-04-16,123.79824920654296,129.15617892206987,120.22629606285835,129.15617892206987,2.885301825008221,4.327952737512326,True,target,6
