symbol,date,entry,sl,tp,tp_rr,risk_pct,exit_fixed,reason_fixed,days_fixed,pnl_fixed,win_fixed,exit_tight,reason_tight,days_tight,pnl_tight,win_tight,exit_wide,reason_wide,days_wide,pnl_wide,win_wide
PRU,2024-05-17,110.17,101.28,136.82,3.0,8.06,103.83,below_sma,19,-5.75,False,108.07,trail,1,-1.9,False,106.74,trail,7,-3.11,False
PRU,2024-05-31,110.48,102.12,135.54,3.0,7.56,103.83,below_sma,10,-6.02,False,108.14,trail,2,-2.11,False,106.54,trail,7,-3.57,False
PRU,2026-01-30,109.62,107.39,117.41,3.48,2.04,107.39,stop,2,-2.04,False,107.39,stop,2,-2.04,False,107.39,stop,2,-2.04,False
PHM,2023-11-01,75.79,70.3,84.02,1.5,7.24,84.02,target,9,10.86,True,79.26,trail,6,4.59,True,84.02,target,9,10.86,True
PHM,2024-02-29,106.56,98.84,118.16,1.5,7.25,118.16,target,20,10.88,True,109.34,trail,7,2.6,True,118.16,target,20,10.88,True
PHM,2024-03-01,109.35,98.82,140.92,3.0,9.63,107.15,timeout,30,-2.0,False,109.34,trail,6,-0.01,False,112.76,trail,21,3.12,True
PHM,2024-04-23,111.06,103.32,122.68,1.5,6.98,110.85,below_sma,25,-0.2,False,107.54,trail,2,-3.17,False,114.29,trail,21,2.9,True
PHM,2026-02-02,126.8,117.99,140.02,1.5,6.95,140.02,target,8,10.42,True,128.24,trail,1,1.14,True,140.02,target,8,10.42,True
PHM,2026-02-03,130.18,117.23,149.61,1.5,9.95,126.39,below_sma,23,-2.91,False,138.01,trail,13,6.01,True,134.42,trail,15,3.26,True
PWR,2024-02-01,199.73,192.6,210.42,1.5,3.57,210.42,target,5,5.35,True,197.52,trail,1,-1.11,False,210.42,target,5,5.35,True
PWR,2024-02-02,203.96,192.26,221.51,1.5,5.74,221.51,target,13,8.6,True,206.96,trail,11,1.47,True,221.51,target,13,8.6,True
PWR,2024-10-31,301.13,277.94,335.92,1.5,7.7,335.92,target,15,11.55,True,303.41,trail,4,0.76,True,335.92,target,15,11.55,True
PWR,2026-02-02,477.68,425.62,555.76,1.5,10.9,555.76,target,13,16.35,True,467.7,trail,2,-2.09,False,452.59,trail,2,-5.25,False
RCL,2024-03-20,132.48,115.72,182.76,3.0,12.65,134.29,timeout,30,1.37,True,133.53,trail,5,0.79,True,130.68,trail,13,-1.36,False
RCL,2024-09-20,170.54,150.13,231.74,3.0,11.96,197.98,timeout,30,16.09,True,173.71,trail,6,1.86,True,169.06,trail,6,-0.87,False
RCL,2025-02-28,241.69,224.42,267.59,1.5,7.14,224.42,stop,2,-7.14,False,230.81,trail,2,-4.5,False,224.42,stop,2,-7.14,False
RCL,2026-03-02,299.25,280.63,330.75,1.69,6.22,285.69,below_sma,2,-4.53,False,281.74,trail,3,-5.85,False,280.63,stop,3,-6.22,False
CRM,2023-11-28,221.67,201.07,283.46,3.0,9.29,267.45,timeout,30,20.66,True,248.85,trail,3,12.26,True,243.85,trail,7,10.01,True
CRM,2023-11-29,227.02,200.73,305.86,3.0,11.58,268.0,timeout,30,18.05,True,248.85,trail,2,9.62,True,243.85,trail,6,7.42,True
CRM,2025-01-27,343.99,319.24,381.11,1.5,7.19,327.84,below_sma,8,-4.69,False,347.53,trail,3,1.03,True,336.69,trail,5,-2.12,False
NOW,2023-09-07,119.86,109.94,134.75,1.5,8.28,109.94,stop,10,-8.28,False,118.11,trail,3,-1.47,False,115.79,trail,6,-3.4,False
NOW,2024-10-24,191.32,168.96,258.39,3.0,11.69,224.87,timeout,30,17.54,True,186.61,trail,5,-2.46,False,201.07,trail,16,5.1,True
