sym,date,year,gap%,reason,pnl_BT,win_BT,pnl_MarketOpen,win_MarketOpen,pnl_Limit,win_Limit,pnl_Intraday,win_Intraday
LRCX,2024-03-12,2024,-1.45,timeout,2.16,True,2.63,True,1.14,True,2.07,True
CB,2024-03-12,2024,0.29,below_sma,-2.48,False,-3.73,False,-3.45,False,-2.91,False
RJF,2024-03-15,2024,0.1,target,2.38,True,1.26,True,1.36,True,2.16,True
RTX,2024-03-15,2024,-0.1,target,4.78,True,3.83,True,3.73,True,4.79,True
BRK-B,2024-03-15,2024,0.14,target,1.57,True,0.41,True,0.55,True,1.03,True
C,2024-03-15,2024,0.42,target,2.87,True,1.42,True,1.84,True,2.88,True
WRB,2024-03-15,2024,-0.6,target,1.72,True,1.3,True,0.7,True,1.35,True
FCX,2024-03-15,2024,0.78,timeout,13.6,True,11.58,True,12.46,True,13.7,True
CMI,2024-03-18,2024,-0.19,timeout,4.0,True,3.15,True,2.96,True,4.67,True
NDAQ,2024-03-19,2024,-4.05,timeout,-2.95,False,0.13,True,-3.92,False,-2.38,False
DHR,2024-03-19,2024,-0.17,stop,-1.6,False,-2.42,False,-2.59,False,-2.06,False
CPAY,2024-03-19,2024,0.19,timeout,-2.33,False,-3.49,False,-3.3,False,-2.28,False
ABBV,2024-03-19,2024,-0.24,stop,-1.0,False,-1.75,False,-1.99,False,-1.59,False
MAS,2024-03-21,2024,-0.03,below_sma,-5.06,False,-5.99,False,-6.01,False,-5.48,False
IBKR,2024-04-02,2024,0.38,stop,-2.91,False,-4.25,False,-3.88,False,-3.06,False
IR,2024-04-03,2024,1.08,stop,-0.86,False,-2.9,False,-1.85,False,-1.41,False
SCHW,2024-04-16,2024,0.59,timeout,6.89,True,5.2,True,5.82,True,6.97,True
ALL,2024-04-19,2024,0.12,timeout,-1.0,False,-2.11,False,-1.99,False,-1.15,False
AXP,2024-04-23,2024,-0.29,timeout,2.75,True,2.02,True,1.72,True,2.62,True
XYL,2024-05-02,2024,1.11,timeout,5.02,True,2.83,True,3.97,True,5.35,True
TSN,2024-05-03,2024,-2.14,stop,-3.14,False,-2.0,False,-4.1,False,-3.47,False
IFF,2024-05-07,2024,1.02,timeout,4.98,True,2.89,True,,,4.89,True
AIG,2024-05-17,2024,0.14,stop,-2.6,False,-3.7,False,-3.57,False,-2.66,False
IP,2024-05-23,2024,2.67,timeout,8.24,True,4.37,True,,,9.37,True
DD,2024-05-24,2024,1.36,timeout,0.66,True,-1.68,False,-0.35,False,0.34,True
BK,2024-05-30,2024,0.14,target,3.22,True,2.05,True,2.19,True,2.61,True
TMUS,2024-05-30,2024,0.02,target,8.23,True,7.12,True,7.15,True,7.63,True
FIS,2024-05-31,2024,0.05,timeout,-0.67,False,-1.72,False,-1.67,False,-0.67,False
PM,2024-05-31,2024,-0.14,target,3.12,True,2.23,True,2.08,True,3.15,True
JPM,2024-05-31,2024,-0.16,stop,-2.69,False,-3.51,False,-3.66,False,-2.87,False
PRU,2024-05-31,2024,0.19,stop,-3.27,False,-4.42,False,-4.23,False,-3.62,False
BK,2024-05-31,2024,-0.03,timeout,1.86,True,0.87,True,0.84,True,1.79,True
TMUS,2024-05-31,2024,-0.26,timeout,3.39,True,2.62,True,2.35,True,3.8,True
PM,2024-06-03,2024,-0.05,timeout,1.01,True,0.05,True,0.0,True,0.84,True
KDP,2024-06-04,2024,0.26,stop,-2.39,False,-3.61,False,-3.36,False,-2.59,False
ECL,2024-06-05,2024,0.26,timeout,0.82,True,-0.44,False,-0.18,False,0.59,True
TRGP,2024-06-10,2024,0.21,target,7.8,True,6.5,True,6.72,True,7.47,True
CMG,2024-06-17,2024,2.07,stop,-5.4,False,-8.24,False,,,-5.8,False
ANET,2024-06-17,2024,-0.02,timeout,0.0,True,-0.98,False,-1.0,False,0.09,True
PM,2024-06-24,2024,0.13,target,4.0,True,2.83,True,2.96,True,3.82,True
EA,2024-07-10,2024,0.06,timeout,1.23,True,0.17,True,0.22,True,1.3,True
BRO,2024-07-12,2024,0.21,target,5.56,True,4.29,True,4.51,True,5.27,True
NWSA,2024-07-16,2024,-0.21,stop,-3.09,False,-3.86,False,-4.06,False,-2.97,False
MS,2024-07-17,2024,-0.4,stop,-4.14,False,-4.71,False,-5.09,False,-4.26,False
BRO,2024-07-23,2024,-0.0,timeout,6.14,True,5.07,True,5.07,True,5.64,True
UHS,2024-07-26,2024,0.92,timeout,10.2,True,8.11,True,,,10.16,True
CL,2024-08-01,2024,1.06,target,3.72,True,1.61,True,2.69,True,3.39,True
WMT,2024-08-01,2024,-0.27,stop,-1.84,False,-2.56,False,-2.82,False,-2.21,False
COR,2024-08-02,2024,-0.43,stop,-4.99,False,-5.54,False,-5.94,False,-4.48,False
FITB,2024-08-05,2024,-0.2,timeout,9.4,True,8.53,True,8.31,True,9.19,True
RSG,2024-08-07,2024,-0.12,timeout,2.95,True,2.04,True,1.92,True,3.01,True
TSN,2024-08-08,2024,-0.32,stop,-1.45,False,-2.12,False,-2.43,False,-1.57,False
BSX,2024-08-29,2024,0.2,target,5.27,True,4.01,True,,,4.87,True
USB,2024-08-30,2024,0.11,stop,-3.55,False,-4.61,False,-4.51,False,-3.94,False
PNC,2024-08-30,2024,-0.49,stop,-3.43,False,-3.93,False,-4.4,False,-3.9,False
MKC,2024-08-30,2024,0.01,target,2.08,True,1.05,True,1.06,True,1.56,True
JNJ,2024-08-30,2024,-0.37,stop,-1.53,False,-2.15,False,-2.51,False,-2.0,False
GRMN,2024-08-30,2024,-0.11,stop,-2.12,False,-3.0,False,-3.1,False,-2.59,False
MRSH,2024-09-03,2024,0.16,stop,-1.74,False,-2.88,False,,,-2.39,False
PG,2024-09-03,2024,-0.51,timeout,0.15,True,-0.34,False,-0.85,False,0.15,True
CAG,2024-09-03,2024,0.28,timeout,3.54,True,2.22,True,,,3.51,True
JKHY,2024-09-03,2024,-0.81,timeout,4.01,True,3.8,True,2.97,True,3.57,True
UNH,2024-09-03,2024,0.22,stop,-2.17,False,-3.36,False,-3.14,False,-2.64,False
MKC,2024-09-03,2024,0.02,timeout,4.61,True,3.53,True,3.56,True,4.3,True
MRSH,2024-09-09,2024,0.19,stop,-1.07,False,-2.25,False,-2.06,False,-1.72,False
ADP,2024-09-09,2024,0.53,target,4.01,True,2.43,True,2.97,True,4.09,True
